epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2202.66,0.48025,0.31187,0.00107,0.9751,0.92499,0.95837,0.94082,0.22927,0.19211,0.00271,0.0242006,0.00806686,0.0242006,0.00806686,0.0242006,0.00806686,0.0242006,0.00806686
31,2275.17,0.48609,0.3177,0.00109,0.97154,0.9196,0.95645,0.94293,0.21555,0.19053,0.00264,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
32,2347.75,0.47907,0.31256,0.00108,0.96432,0.92955,0.96085,0.94739,0.20825,0.20075,0.00253,0.0238006,0.00793354,0.0238006,0.00793354,0.0238006,0.00793354,0.0238006,0.00793354
33,2420.25,0.4796,0.30285,0.00107,0.96694,0.93328,0.96259,0.94927,0.20732,0.18709,0.00254,0.0236006,0.00786688,0.0236006,0.00786688,0.0236006,0.00786688,0.0236006,0.00786688
34,2492.7,0.47426,0.3062,0.00107,0.96618,0.93535,0.96385,0.95035,0.20766,0.18334,0.00245,0.0234007,0.00780022,0.0234007,0.00780022,0.0234007,0.00780022,0.0234007,0.00780022
35,2565.2,0.46593,0.30068,0.00105,0.97348,0.92789,0.96086,0.94785,0.20778,0.18063,0.00256,0.0232007,0.00773356,0.0232007,0.00773356,0.0232007,0.00773356,0.0232007,0.00773356
36,2637.77,0.47304,0.30268,0.00106,0.98231,0.92043,0.95773,0.94466,0.21067,0.18049,0.00255,0.0230007,0.0076669,0.0230007,0.0076669,0.0230007,0.0076669,0.0230007,0.0076669
37,2710.25,0.47374,0.30984,0.00105,0.97854,0.92582,0.96037,0.94838,0.20099,0.19275,0.00244,0.0228007,0.00760024,0.0228007,0.00760024,0.0228007,0.00760024,0.0228007,0.00760024
38,2782.75,0.46741,0.30553,0.00105,0.97563,0.92913,0.96194,0.94997,0.20055,0.19501,0.00242,0.0226007,0.00753358,0.0226007,0.00753358,0.0226007,0.00753358,0.0226007,0.00753358
39,2855.36,0.46703,0.30138,0.00104,0.97611,0.93121,0.96302,0.95206,0.19844,0.20552,0.00238,0.0224008,0.00746692,0.0224008,0.00746692,0.0224008,0.00746692,0.0224008,0.00746692
