epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3434.97,0.35031,0.3327,0.80003,0.94371,0.87627,0.92763,0.91543,0.22782,0.22742,0.72813,0.0242006,0.00806686,0.0242006,0.00806686,0.0242006,0.00806686,0.0242006,0.00806686
31,3549.55,0.34922,0.3295,0.79927,0.94488,0.875,0.92678,0.91455,0.22811,0.22738,0.72827,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
32,3663.83,0.3499,0.32773,0.79994,0.94534,0.87767,0.92827,0.91602,0.22748,0.22544,0.72793,0.0238006,0.00793354,0.0238006,0.00793354,0.0238006,0.00793354,0.0238006,0.00793354
33,3781,0.3476,0.32612,0.79848,0.94542,0.8778,0.92842,0.91605,0.22766,0.22537,0.72816,0.0236006,0.00786688,0.0236006,0.00786688,0.0236006,0.00786688,0.0236006,0.00786688
34,3896.37,0.34821,0.32653,0.79914,0.94423,0.87546,0.9271,0.91482,0.22859,0.22658,0.72895,0.0234007,0.00780022,0.0234007,0.00780022,0.0234007,0.00780022,0.0234007,0.00780022
35,4012.89,0.34649,0.32506,0.79837,0.94151,0.87417,0.92568,0.91315,0.23022,0.22846,0.73007,0.0232007,0.00773356,0.0232007,0.00773356,0.0232007,0.00773356,0.0232007,0.00773356
36,4128.54,0.34435,0.32317,0.7984,0.93631,0.8726,0.92375,0.91079,0.23162,0.23085,0.73131,0.0230007,0.0076669,0.0230007,0.0076669,0.0230007,0.0076669,0.0230007,0.0076669
37,4244.91,0.3451,0.32204,0.79927,0.93399,0.87176,0.92265,0.90978,0.2318,0.23113,0.73136,0.0228007,0.00760024,0.0228007,0.00760024,0.0228007,0.00760024,0.0228007,0.00760024
38,4360.82,0.3435,0.32134,0.7985,0.93071,0.87025,0.92123,0.90837,0.23208,0.23172,0.73191,0.0226007,0.00753358,0.0226007,0.00753358,0.0226007,0.00753358,0.0226007,0.00753358
39,4477.37,0.34253,0.31943,0.79897,0.92674,0.87081,0.9207,0.90751,0.23283,0.23302,0.73249,0.0224008,0.00746692,0.0224008,0.00746692,0.0224008,0.00746692,0.0224008,0.00746692
40,4594.65,0.34176,0.31894,0.79767,0.92516,0.86892,0.91906,0.90548,0.23416,0.23467,0.73345,0.0222008,0.00740026,0.0222008,0.00740026,0.0222008,0.00740026,0.0222008,0.00740026
41,4710.6,0.34054,0.31658,0.7978,0.92126,0.86793,0.91797,0.90425,0.23536,0.23622,0.7345,0.0220008,0.0073336,0.0220008,0.0073336,0.0220008,0.0073336,0.0220008,0.0073336
42,4827.03,0.33997,0.3167,0.79799,0.91798,0.86775,0.91724,0.90289,0.23635,0.23746,0.73539,0.0218008,0.00726694,0.0218008,0.00726694,0.0218008,0.00726694,0.0218008,0.00726694
43,4942.94,0.33853,0.31386,0.79689,0.91282,0.86651,0.91524,0.90087,0.23747,0.23894,0.73677,0.0216008,0.00720028,0.0216008,0.00720028,0.0216008,0.00720028,0.0216008,0.00720028
44,5059.5,0.33884,0.31392,0.79813,0.90838,0.86737,0.91469,0.89983,0.23883,0.24069,0.73819,0.0214009,0.00713362,0.0214009,0.00713362,0.0214009,0.00713362,0.0214009,0.00713362
45,5175.82,0.33676,0.3127,0.79679,0.90494,0.86717,0.9138,0.89839,0.23939,0.24112,0.73884,0.0212009,0.00706696,0.0212009,0.00706696,0.0212009,0.00706696,0.0212009,0.00706696
46,5291.33,0.33516,0.31194,0.79621,0.90401,0.86722,0.91335,0.89835,0.23931,0.24027,0.73871,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003
47,5406.91,0.33495,0.31067,0.797,0.90317,0.86679,0.91287,0.89803,0.23926,0.24001,0.73914,0.0208009,0.00693364,0.0208009,0.00693364,0.0208009,0.00693364,0.0208009,0.00693364
